Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.16374815,140.0520556,56.55710983,0.00013046,0.000427551,-5.88E-39,0.000447012,0.000447012,0.003210681,-0.017407332,-1.009211063,0.000160061,0.001629924,0.003520411,56.55710983,0.004018242,0.006765201,0.819419444,0.573140323,0.899186328,0.067011337,110.05904,0.013197958,0.038551733,-0.087581635,6,6234, 
36.16374815,140.0520556,56.55710983,0.000171277,0.000458062,-5.88E-39,0.000489036,0.000489036,0.002327863,-0.016998593,-1.008905411,-1.61E-05,0.00135374,0.000525503,56.55710983,0.00402282,0.006765353,0.819375694,0.573202848,0.899496287,0.066660105,110.0502925,0.008163318,0.006102197,-0.091856003,6,6237, 
36.16374815,140.0520556,56.56744385,0.00017166,0.000415313,-5.88E-39,0.000449391,0.000449391,0.000837761,-0.016336955,-1.00812602,-0.00089461,0.001805707,-0.002601628,56.56744385,0.004026412,0.006764584,0.819327652,0.573271692,0.899654329,0.066347757,110.0406701,7.67E-05,-0.008549739,-0.082668304,6,6240, 
36.16374815,140.0520556,56.56744385,0.000129255,0.000320169,-5.88E-39,0.000345276,0.000345276,-0.000457372,-0.015728222,-1.007049799,-0.002306313,0.002425671,-0.005001343,56.56744385,0.004027219,0.006762263,0.819275558,0.573346138,0.899483441,0.066201331,110.0302564,-0.00848107,-0.019028708,-0.069766045,6,6243, 
36.16374815,140.0520556,56.56744385,5.10E-05,0.000207241,-5.88E-39,0.000213422,0.000213422,-0.000950227,-0.015357344,-1.006312966,-0.003604809,0.002907992,-0.00657206,56.56744385,0.004024921,0.006757976,0.819220543,0.573424578,0.898923773,0.0662215,110.0192769,-0.015653029,-0.022585612,-0.060935974,6,6246, 
36.16374815,140.0520556,56.56744385,-3.75E-05,0.00010904,-5.88E-39,0.000115299,0.000115299,-0.000579445,-0.015189076,-1.006218672,-0.004209377,0.003107572,-0.007284735,56.56744385,0.004020543,0.006752244,0.819164157,0.573505461,0.898091179,0.06634441,110.0079786,-0.017692342,-0.019640204,-0.060058594,6,6249, 
36.16374815,140.0520556,56.76063538,-0.000123095,4.15E-05,-5.88E-39,0.000129908,0.000129908,0.000197854,-0.014843013,-1.007051587,-0.00397832,0.003220606,-0.00672135,56.76063538,0.004015574,0.006746352,0.819107413,0.573586464,0.897205059,0.066512356,109.9966459,-0.017124556,-0.013504051,-0.069030762,6,6252, 
36.16374815,140.0520556,56.76063538,-0.000204486,2.46E-06,-0.000344619,0.000400728,0.000204501,0.000884794,-0.014147139,-1.008400917,-0.002921645,0.003332658,-0.004652857,56.76063538,0.004011323,0.00674193,0.819052637,0.573664725,0.896504173,0.066706409,109.9857002,-0.016278282,-0.007812541,-0.082921982,6,6255, 
36.16374815,140.0520556,56.76063538,-0.000262438,-2.52E-05,-0.000758052,0.000802592,0.000263649,0.000974181,-0.013526624,-1.009492636,-0.001533837,0.003553374,-0.001209004,56.76063538,0.004008531,0.006740224,0.819001794,0.573737383,0.89615451,0.066935706,109.9755395,-0.011590466,-0.005539261,-0.09381827,6,6258, 
36.16374815,140.0520556,56.76063538,-0.000273392,-5.51E-05,-0.001225241,0.00125658,0.000278887,0.000563772,-0.013444879,-1.009265184,-0.00026754,0.003931598,0.002976672,56.76063919,0.004007096,0.006741627,0.818956435,0.573802233,0.89618646,0.067233567,109.9664729,-0.002190724,-0.00597034,-0.091548085,6,6261, 
36.16374815,140.0520556,56.75650024,-0.000239879,-7.43E-05,-0.001641916,0.001661008,0.000251122,0.000325251,-0.013912721,-1.007690668,0.000346912,0.004154697,0.006715178,56.76063156,0.004006463,0.006745347,0.818916619,0.573858857,0.896489399,0.067599616,109.9585435,0.006702662,-0.003841624,-0.075743318,6,6264, 
36.16374815,140.0520556,56.75650024,-0.00019299,-6.96E-05,-0.001980213,0.001990812,0.000205156,0.000678049,-0.014634072,-1.005885005,0.000448152,0.004040754,0.009724917,56.76062393,0.004006291,0.006749846,0.81888175,0.573908567,0.896896138,0.067966077,109.9515884,0.009377837,0.000939935,-0.058040116,6,6267, 
36.16374815,140.0520556,56.75650024,-0.000160791,-4.29E-05,-0.002230742,0.00223694,0.000166407,0.001429386,-0.015229033,-1.005298018,0.000220766,0.00359648,0.011623967,56.76062012,0.004006644,0.006753791,0.818850398,0.573953271,0.897285882,0.068241427,109.9453337,0.00643979,0.005346328,-0.053084735,6,6270, 
36.16374815,140.0520556,56.75650024,-0.000134728,-1.66E-06,-0.002457243,0.002460934,0.000134738,0.002035992,-0.015850142,-1.006192088,-0.000423594,0.002806909,0.012462821,56.7606163,0.004007659,0.006755946,0.818821013,0.573995173,0.897551411,0.068333804,109.9394697,0.00521259,0.008240797,-0.062894188,6,6273, 
36.16374815,140.0520556,56.77613068,-9.96E-05,2.86E-05,-0.002915994,0.002917837,0.000103678,0.002085584,-0.016641242,-1.008087397,-0.001032831,0.002336121,0.012115913,56.76068115,0.004009072,0.006755912,0.818791926,0.574036598,0.897637655,0.068244449,109.9336686,0.007017076,0.006061785,-0.08267054,6,6276, 
36.16374815,140.0520556,56.77613068,-4.77E-05,4.10E-05,-0.003468295,0.003468865,6.29E-05,0.001651071,-0.017429531,-1.010062933,-0.000997772,0.00240477,0.011109298,56.76074982,0.004010475,0.00675501,0.818762004,0.574079454,0.897641665,0.068100399,109.9276779,0.010387689,0.002472185,-0.10217832,6,6279, 
