Latitude (Deg), Longitude (Deg), GPS Altitude (m), N Velocity(m/s), E Velocity(m/s), D Velocity(m/s), Velocity(m/s), Ground Speed(m/s), AccelerometerX(g), AccelerometerY(g), AccelerometerZ(g), GyroX(rad/s), GyroY(rad/s), GyroZ(rad/s), Barometric Alt(m), QuaternionX, QuaternionY, QuaternionZ, QuaternionW, Roll(deg), Pitch(deg), Yaw(deg), MagneticX, MagneticY, MagneticZ, Satellites, Sequence(135 Hz) ,
36.163726,140.052027,78.25244904,0.602463543,0.251502246,-0.015729396,0.653041434,0.652851975,0.001948653,-0.001040016,-1.030348539,-0.330847532,-0.009286162,-0.012721278,78.39520264,0.048254624,0.079731345,0.798849821,0.59426713,10.64759744,1.012299483,106.8029626,-1.775369883,-0.652548313,-0.103772275,9,170743, 
36.16372602,140.0520271,78.25244904,0.593310952,0.248251274,-0.016256638,0.643359044,0.643153622,0.005660023,0.007273231,-1.028266191,-0.321332753,-0.023389179,-0.02099652,78.39479065,0.047792196,0.079055026,0.798885703,0.594346642,10.55332224,1.009098116,106.7969497,-1.83052063,-0.650193155,-0.053584822,9,170746, 
36.16372605,140.0520271,78.25244904,0.584397018,0.244996056,-0.016531521,0.633889764,0.633674161,0.002233936,0.003265147,-1.029580355,-0.330939502,-0.026967602,-0.019406602,78.39439392,0.047346659,0.078365818,0.798915029,0.594434142,10.45900905,1.003570869,106.7895419,-1.782788277,-0.651044905,-0.093663596,9,170749, 
36.16372607,140.0520271,78.05870056,0.575469077,0.241756767,-0.015203177,0.624373389,0.624188267,0.004495959,0.007351431,-1.027440071,-0.320376009,-0.044479635,-0.021911221,78.39333344,0.046922781,0.077661894,0.798941791,0.594524145,10.36482281,0.995083016,106.7814699,-1.785598993,-0.647857606,-0.051078804,9,170752, 
36.1637261,140.0520271,78.05870056,0.56674993,0.238789037,-0.013717414,0.615153522,0.615000559,0.007163748,0.0041112,-1.026413202,-0.324294418,-0.036308464,-0.019385504,78.39227295,0.04651314,0.076957606,0.798966825,0.594614267,10.27158527,0.985264891,106.7731719,-1.743842125,-0.59354955,-0.063688129,9,170755, 
36.16372612,140.0520271,78.05870056,0.558267057,0.2356323,-0.012348386,0.606083468,0.605957662,0.004115514,0.001414272,-1.024754763,-0.321284324,-0.04672556,-0.012191636,78.39120483,0.046105981,0.076250121,0.798998535,0.594694495,10.17824234,0.97486781,106.7662104,-1.696574211,-0.63134855,-0.029341504,9,170758, 
36.16372615,140.0520271,78.05870056,0.549910903,0.232693836,-0.010859938,0.597215506,0.597116758,0.008418216,0.003172697,-1.024749279,-0.317763984,-0.032253299,-0.006831658,78.39013672,0.045700788,0.075551398,0.799038708,0.594761074,10.08586706,0.964715329,106.7611376,-1.671217203,-0.587692559,-0.026437264,9,170761, 
36.16372617,140.0520271,78.10301971,0.541793704,0.229406297,-0.009819909,0.588442094,0.588360151,0.000888504,0.000234634,-1.027280211,-0.321684182,-0.031423256,0.003465904,78.38921356,0.045281462,0.074862704,0.799090743,0.594810128,9.993480264,0.956322074,106.7586674,-1.623424292,-0.657509208,-0.046376098,9,170764, 
36.1637262,140.0520271,78.10301971,0.533454239,0.226232037,-0.008915638,0.579511733,0.579443147,0.006505501,0.008098069,-1.028795004,-0.315063089,-0.021420946,0.004136585,78.38828278,0.044854332,0.074184105,0.799151003,0.594846725,9.901510958,0.949180958,106.7580374,-1.667898178,-0.634853482,-0.033424664,9,170767, 
36.16372622,140.0520272,78.10301971,0.525288761,0.223057717,-0.007981725,0.570742267,0.570686453,0.003297074,0.005260994,-1.032338619,-0.325100899,-0.00931499,0.008874461,78.38735962,0.044403043,0.073518164,0.799216092,0.594875634,9.80907423,0.945026548,106.7587123,-1.646710515,-0.646277845,-0.086106285,9,170770, 
